Date,Open,High,Low,Close
2024-01-01,0.999881,1.000709,0.999574,1.000368
2024-01-02,1.000273,1.001395,1.000096,1.000507
2024-01-03,1.000434,1.003630,1.000166,1.000657
2024-01-04,1.000399,1.001759,1.000354,1.001032
2024-01-05,1.000933,1.001573,1.000410,1.000877
